name,style,viewBox,declared,est,est_n,est_ratio,scale_source,method,candidates,tag_is_top,top_margin,best_area_sf,mean_width_ft,stage,error,identify_ms,regions,stalls,aprons,drive_width,drive_length,throat_width,curb_radius
8f6a77d7_option_1.svg,class,1920x1080,,6.5838,8,0.5,estimated,tagged,45,false,1.61,1725,11.5,done,,8,APRON1+DRIVE1,0,1,10.2,114.6,10.2,5
8f6a77d7_option_2.svg,class,1920x1080,,,0,,none,tagged,43,false,1.61,,,scale,,,,,,,,,
9224ef30_option_1.svg,class,1920x1080,,0.7744,222,0.5,estimated,tagged,777,true,18.45,97866,23.3,done,,437,APRON2+DRIVE7+LOT4+STALL9,12,5,28,449,16.9,15
9224ef30_option_2.svg,class,1920x1080,,0.7744,222,0.5,estimated,tagged,791,true,18.45,97866,23.3,done,,412,APRON2+DRIVE7+LOT4+STALL9,12,5,28,449,16.9,15
9224ef30_option_3.svg,class,1920x1080,,0.7743,222,0.5,estimated,tagged,1853,true,9.54,97891,23.4,done,,435,APRON2+DRIVE7+LOT3+STALL11,12,5,28,222.4,16.9,15
96d28f6a_option_1.svg,class,1920x1080,,1.7165,154,0.5,estimated,tagged,184,true,5.27,31363,24.1,done,,57,APRON1+DRIVE1,0,1,25,1272.4,25,25.1
97f95caf_option_1.svg,class,1920x1080,,,0,,none,tagged,43,false,1.96,,,scale,,,,,,,,,
97f95caf_option_2.svg,class,1920x1080,,5.4778,8,0.5,estimated,tagged,45,false,1.96,1489,11.4,done,,10,DRIVE1,0,0,11.9,65.5,,
97f95caf_option_3.svg,class,1920x1080,,5.4778,8,0.5,estimated,tagged,47,false,1.76,1793,11.8,done,,6,DRIVE1,0,0,11.9,65.5,,
97f95caf_option_4.svg,class,1920x1080,,5.4778,8,0.5,estimated,tagged,46,false,1.59,1998,10.2,done,,10,APRON2+DRIVE1,0,2,20,24.3,9,5
981256d1_option_1.svg,class,1920x1080,,,0,,none,tagged,716,false,1.61,,,scale,,,,,,,,,
98b1cdce_option_1.svg,class,1920x1080,,,0,,none,ranked,51,,1.43,,,scale,,,,,,,,,
98b1cdce_option_2.svg,class,1920x1080,,,0,,none,tagged,49,false,1.43,,,scale,,,,,,,,,
98b1cdce_option_3.svg,class,1920x1080,,,0,,none,tagged,50,false,1.43,,,scale,,,,,,,,,
99652a72_option_1.svg,class,1920x1080,,1.6666,46,0.486,estimated,tagged,792,true,4.07,34684,17.6,done,,1015,APRON8+DRIVE1+LOT1+STALL14,20,9,26.6,95.8,26.5,10.6
99652a72_option_2.svg,class,1920x1080,,1.6663,92,0.486,estimated,tagged,727,true,3.71,31546,30.4,done,,75,APRON5+DRIVE4+LOT3,0,5,28.3,19.8,26.5,10.6
99652a72_option_4.svg,class,1920x1080,,,0,,none,tagged,761,false,1.14,,,scale,,,,,,,,,
99652a72_option_5.svg,class,1920x1080,,,0,,none,tagged,771,false,1.38,,,scale,,,,,,,,,
99652a72_option_6.svg,class,1920x1080,,,0,,none,tagged,758,false,1.38,,,scale,,,,,,,,,
99652a72_option_7.svg,class,1920x1080,,,0,,none,tagged,763,false,1.14,,,scale,,,,,,,,,
9c5cd8ac_option_1.svg,class,1920x1080,,4.1305,24,0.5,estimated,tagged,104,true,25.8,29114,24.6,done,,29,APRON1+DRIVE1,0,1,27.6,584.8,25.3,15
9c5cd8ac_option_2.svg,class,1920x1080,,4.1305,32,0.5,estimated,tagged,107,true,25.8,29114,24.6,done,,28,APRON1+DRIVE1,0,1,27.6,584.8,25.3,15
9c5cd8ac_option_3.svg,class,1920x1080,,4.1305,32,0.5,estimated,tagged,105,true,25.8,29114,24.6,done,,27,APRON1+DRIVE1,0,1,27.6,584.8,25.3,15
9c5cd8ac_option_4.svg,class,1920x1080,,4.1305,36,0.5,estimated,tagged,108,true,25.8,29114,24.6,done,,26,APRON1+DRIVE1,0,1,27.6,584.8,25.3,15
9c5cd8ac_option_5.svg,class,1920x1080,,4.1305,24,0.5,estimated,tagged,102,true,25.8,29114,24.6,done,,31,APRON1+DRIVE1,0,1,27.6,584.8,25.3,15
a6062baf_option_1.svg,class,1920x1080,,,0,,none,tagged,28,true,2.03,,,scale,,,,,,,,,
a6062baf_option_2.svg,class,1920x1080,,4.6095,12,0.5,estimated,tagged,28,true,2.85,1997,11.2,done,,12,DRIVE1,0,0,9.9,70.4,,
a6062baf_option_3.svg,class,1920x1080,,4.6095,24,0.5,estimated,tagged,34,true,3.29,2695,11.9,done,,15,APRON4,0,5,,,23.8,2
a628c9f2_option_1.svg,class,1920x1080,,,0,,none,tagged,49,true,2.28,,,scale,,,,,,,,,
a628c9f2_option_2.svg,class,1920x1080,,,0,,none,tagged,49,true,1.51,,,scale,,,,,,,,,
a628c9f2_option_3.svg,class,1920x1080,,,0,,none,tagged,47,true,2.01,,,scale,,,,,,,,,
a628c9f2_option_4.svg,attr,1920x1080,5.492091,,0,,declared,tagged,31,true,2.8,3557,13.7,done,,53,DRIVE1,0,0,12.8,180.4,,
a67d1737_option_1.svg,class,1920x1080,,,0,,none,tagged,682,true,21.94,,,scale,,,,,,,,,
a74190d8_option_1.svg,class,1920x1080,,1.932,38,0.5,estimated,tagged,86,false,1.95,16539,27.4,done,,26,APRON2+DRIVE1,0,2,30,469.6,30,25
b156c6ed_option_1.svg,class,1920x1080,,,0,,none,tagged,53,false,1.64,,,scale,,,,,,,,,
b156c6ed_option_2.svg,class,1920x1080,,,0,,none,tagged,53,false,1.64,,,scale,,,,,,,,,
b156c6ed_option_3.svg,class,1920x1080,,6.4795,8,0.5,estimated,tagged,53,false,1.64,588,9.2,done,,4,DRIVE1,0,0,10,38,,
b156c6ed_option_4.svg,class,1920x1080,,6.4795,12,0.5,estimated,tagged,50,false,1.57,1584,12.1,done,,5,DRIVE1,0,0,9.9,56.9,,
b30e89cd_option_5.svg,attr,1920x1080,5.873642,,0,,declared,tagged,14,false,1.07,849,14.3,done,,3,DRIVE1,0,0,24,11.4,,
b30e89cd_option_6.svg,attr,1920x1080,5.873642,,0,,declared,tagged,12,true,1.03,984,13.4,done,,3,DRIVE1,0,0,17.6,21,,
b30e89cd_option_7.svg,attr,1920x1080,1.751641,,0,,declared,tagged,19,true,1.93,1013,5.7,done,,23,DRIVE1,0,0,7.9,85.9,,
b3a8501e_option_1.svg,class,1920x1080,,0.7445,234,0.5,estimated,tagged,733,true,16.47,87330,24.5,done,,168,APRON3+DRIVE2+LOT2,0,5,25,207.2,25,10
b3a8501e_option_2.svg,class,1920x1080,,0.7223,194,0.471,estimated,tagged,647,true,17.56,122875,27.8,done,,266,APRON3+DRIVE8+LOT7,0,5,25.7,216.3,25.8,5.2
b3a8501e_option_3.svg,class,1920x1080,,0.7223,379,0.471,estimated,tagged,584,true,17.56,122875,27.8,done,,260,APRON3+DRIVE8+LOT7,0,5,25.7,216.3,25.8,5.2
b3a8501e_option_4.svg,class,1920x1080,,0.7223,490,0.471,estimated,tagged,568,true,17.56,133464,28.5,done,,330,APRON3+DRIVE5+LOT4,0,6,25.8,213.9,25.8,5.2
b3a8501e_option_5.svg,class,1920x1080,,0.7223,1331,0.471,estimated,tagged,462,true,15.86,207683,39.3,done,,576,APRON3+DRIVE21+LOT14+STALL25,33,4,25.7,28.4,26.3,10.3
b6043b33_option_1.svg,class,1920x1080,,4.7155,26,0.5,estimated,tagged,11,true,13.94,4963,18.2,done,,18,APRON1+DRIVE1,0,1,20.8,103.6,20,10
b6043b33_option_2.svg,class,1920x1080,,4.7155,20,0.501,estimated,tagged,11,true,6.35,2858,18.6,done,,6,DRIVE1,0,0,25,110.9,,
